id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
458,Hyundai Grand i10,2015,103089,1,CNG,GJ-06,Manual,HatchBack,421000
459,Tata Harrier,2022,35382,1,DIESEL,GJ-18,Automatic,SUV,1989000
460,Maruti Alto,2021,20759,1,PETROL,TS-29,Manual,HatchBack,389000
461,Maruti A Star,2010,47148,1,PETROL,DL-3C,Manual,HatchBack,164000
462,Renault TRIBER,2019,31661,1,PETROL,TS-07,Manual,SUV,691000
463,Maruti Baleno,2016,43112,1,PETROL,MH-02,Manual,HatchBack,582000
464,Maruti New Wagon-R,2021,44769,1,CNG,UP-78,Manual,HatchBack,606000
465,Hyundai Elite i20,2017,62148,2,PETROL,DL-4C,Manual,HatchBack,476000
466,Tata ALTROZ,2021,15530,1,PETROL,TS-10,Manual,HatchBack,874000
467,Hyundai i20,2014,77526,1,PETROL,KA-04,Manual,HatchBack,535000
468,Renault Kwid,2016,82700,1,PETROL,TN-73,Manual,HatchBack,335000
469,Maruti New Wagon-R,2020,62629,1,CNG,DL-8C,Manual,HatchBack,547000
470,Maruti Swift,2021,21547,2,PETROL,HR-26,Automatic,HatchBack,802000
471,Maruti Swift,2015,69232,1,PETROL,TN-18,Manual,HatchBack,512000
472,Maruti Celerio X,2018,38415,1,PETROL,CH-01,Automatic,HatchBack,541000
473,Maruti Swift,2019,25854,1,PETROL,MP-09,Manual,HatchBack,600000
474,Maruti Swift,2020,8638,1,PETROL,GJ-06,Manual,HatchBack,628000
475,Hyundai i10,2013,57656,1,PETROL,MH-14,Manual,HatchBack,287000
476,Maruti Alto,2019,24888,1,PETROL,TN-57,Manual,HatchBack,394000
477,Maruti Wagon R 1.0,2014,21917,2,PETROL,TN-02,Manual,HatchBack,372000
478,Maruti A Star,2012,47221,2,PETROL,MH-01,Automatic,HatchBack,279000
479,Tata TIGOR,2018,40031,1,PETROL,DL-2C,Manual,Sedan,527000
480,Hyundai Elite i20,2016,44230,2,PETROL,WB-06,Manual,HatchBack,437000
481,Maruti Dzire,2019,40400,1,PETROL,GJ-13,Manual,Sedan,603000
482,Maruti Celerio,2015,74424,3,PETROL,TS-07,Automatic,HatchBack,419000
483,Hyundai Santro Xing,2010,84084,1,PETROL,KA-05,Manual,HatchBack,244000
484,KIA SONET,2021,11425,1,PETROL,UP-16,Manual,SUV,991000
485,Maruti Swift,2017,80776,1,DIESEL,MH-04,Manual,HatchBack,616800
486,Honda Brio,2012,97335,2,PETROL,KA-22,Manual,HatchBack,297000
487,Hyundai Verna,2017,37717,1,PETROL,MH-02,Manual,Sedan,519000
488,Hyundai Grand i10,2017,35707,1,PETROL,MH-12,Manual,HatchBack,519000
489,Hyundai Elite i20,2018,91609,1,PETROL,TN-85,Manual,HatchBack,559000
490,Hyundai i10,2012,88128,3,CNG,GJ-05,Manual,HatchBack,229000
491,Maruti Swift,2018,47004,1,PETROL,MP-09,Manual,HatchBack,586000
492,Maruti New Wagon-R,2021,30766,1,CNG,TS-08,Manual,HatchBack,588000
493,Maruti Swift Dzire,2013,17387,2,PETROL,KA-03,Manual,Sedan,497000
494,Hyundai Eon,2018,26858,1,PETROL,GJ-05,Manual,HatchBack,338000
495,Maruti Alto K10,2016,55446,1,PETROL,HR-26,Manual,HatchBack,326000
496,Honda Amaze,2014,52597,2,PETROL,TS-09,Manual,Sedan,417000
497,Maruti Ciaz,2015,70473,1,DIESEL,UP-14,Manual,Sedan,521000
498,Maruti Baleno,2017,41947,1,PETROL,DL-6C,Manual,HatchBack,549000
499,Maruti Wagon R 1.0,2018,54472,1,CNG,MH-12,Manual,HatchBack,465000
500,Tata Tiago,2020,29600,1,PETROL,MP-04,Manual,HatchBack,477000
501,Maruti Dzire,2017,86017,1,PETROL,TS-10,Manual,Sedan,634000
502,Maruti Celerio,2015,68755,3,CNG,MH-48,Manual,HatchBack,369000
503,Maruti Swift Dzire,2013,44495,1,PETROL,WB-02,Manual,Sedan,310000
504,Honda Amaze,2016,46411,1,PETROL,DL-9C,Manual,Sedan,456000
505,Maruti Swift Dzire,2013,55432,1,PETROL,DL-4C,Manual,Sedan,218000
506,Tata Tiago,2018,46139,2,PETROL,KA-03,Manual,HatchBack,510000
507,Mahindra Thar,2021,10290,2,PETROL,TS-07,Automatic,SUV,1711000
508,Maruti Swift,2018,90804,1,PETROL,KA-51,Manual,HatchBack,628000
509,Datsun Redi Go,2021,3635,1,PETROL,PB-02,Manual,HatchBack,411000
